"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"Colonial Country Club","TX","Fort Worth","V","76.5","137","","","7289","5 4 4 3 4 4 4 3 4 4 5 4 3 4 4 3 4 4","9 17 5 15 1 13 3 11 7 16 8 4 14 10 2 18 6 12"
"Colonial Country Club","TX","Fort Worth","IV","74.8","133","81.5","153","6911","5 4 4 3 4 4 4 3 4 4 5 4 3 4 4 3 4 4","9 17 5 15 1 13 3 11 7 16 8 4 14 10 2 18 6 12"
"Colonial Country Club","TX","Fort Worth","IV/III","73.3","131","80.2","150","6710","5 4 4 3 4 4 4 3 4 4 5 4 3 4 4 3 4 4","9 17 5 15 1 13 3 11 7 16 8 4 14 10 2 18 6 12"
"Colonial Country Club","TX","Fort Worth","III","72","130","79.6","147","6553","5 4 4 3 4 4 4 3 4 4 5 4 3 4 4 3 4 4","9 17 5 15 1 13 3 11 7 16 8 4 14 10 2 18 6 12"
"Colonial Country Club","TX","Fort Worth","III/II","70.8","130","77.8","145","6270","5 4 4 3 4 4 4 3 4 4 5 4 3 4 4 3 4 4","9 17 5 15 1 13 3 11 7 16 8 4 14 10 2 18 6 12"
"Colonial Country Club","TX","Fort Worth","II","69.7","131","76","141","6044","5 4 4 3 4 4 4 3 4 4 5 4 3 4 4 3 4 4","9 17 5 15 1 13 3 11 7 16 8 4 14 10 2 18 6 12"
"Colonial Country Club","TX","Fort Worth","I","66.7","120","72.8","128","5361","5 4 4 3 4 4 4 3 4 4 5 4 3 4 4 3 4 4","9 17 5 15 1 13 3 11 7 16 8 4 14 10 2 18 6 12"
"TPC Craig Ranch","TX","McKinney","Tpc","77.9","151","84.5","155","7445","4 4 4 3 5 4 3 4 5 4 4 5 4 4 3 4 3 5","7 9 5 17 1 11 13 3 15 4 8 12 2 16 10 6 18 14"
"TPC Craig Ranch","TX","McKinney","Iv","76","150","83","155","7145","4 4 4 3 5 4 3 4 5 4 4 5 4 4 3 4 3 5","7 9 5 17 1 11 13 3 15 4 8 12 2 16 10 6 18 14"
"TPC Craig Ranch","TX","McKinney","North","74.6","146","81.4","155","6860","4 4 4 3 5 4 3 4 5 4 4 5 4 4 3 4 3 5","7 9 5 17 1 11 13 3 15 4 8 12 2 16 10 6 18 14"
"TPC Craig Ranch","TX","McKinney","Craig Ranch","73.3","141","80","155","6630","4 4 4 3 5 4 3 4 5 4 4 5 4 4 3 4 3 5","7 9 5 17 1 11 13 3 15 4 8 12 2 16 10 6 18 14"
"TPC Craig Ranch","TX","McKinney","East","72","140","78.7","152","6400","4 4 4 3 5 4 3 4 5 4 4 5 4 4 3 4 3 5","7 9 5 17 1 11 13 3 15 4 8 12 2 16 10 6 18 14"
"TPC Craig Ranch","TX","McKinney","III","71","136","77","151","6140","4 4 4 3 5 4 3 4 5 4 4 5 4 4 3 4 3 5","7 9 5 17 1 11 13 3 15 4 8 12 2 16 10 6 18 14"
"TPC Craig Ranch","TX","McKinney","South","69","134","74.7","145","5785","4 4 4 3 5 4 3 4 5 4 4 5 4 4 3 4 3 5","7 9 5 17 1 11 13 3 15 4 8 12 2 16 10 6 18 14"
"TPC Craig Ranch","TX","McKinney","II","68.2","131","73.5","139","5585","4 4 4 3 5 4 3 4 5 4 4 5 4 4 3 4 3 5","7 9 5 17 1 11 13 3 15 4 8 12 2 16 10 6 18 14"
"TPC Craig Ranch","TX","McKinney","West","66","124","71","129","5155","4 4 4 3 5 4 3 4 5 4 4 5 4 4 3 4 3 5","7 9 5 17 1 11 13 3 15 4 8 12 2 16 10 6 18 14"
"TPC Craig Ranch","TX","McKinney","I","64.7","120","69.7","124","4920","4 4 4 3 5 4 3 4 5 4 4 5 4 4 3 4 3 5","7 9 5 17 1 11 13 3 15 4 8 12 2 16 10 6 18 14"
"Cowboys Golf Club","TX","Grapevine","Black","74.7","140","81.6","151","7017","5 4 3 4 4 3 4 5 4 4 4 4 5 4 3 4 3 5","5 17 11 15 1 13 3 7 9 18 6 10 2 16 14 4 8 12"
"Cowboys Golf Club","TX","Grapevine","Silver","72.7","137","79","145","6563","5 4 3 4 4 3 4 5 4 4 4 4 5 4 3 4 3 5","5 17 11 15 1 13 3 7 9 18 6 10 2 16 14 4 8 12"
"Cowboys Golf Club","TX","Grapevine","Blue","70.8","134","76.9","141","6182","5 4 3 4 4 3 4 5 4 4 4 4 5 4 3 4 3 5","5 17 11 15 1 13 3 7 9 18 6 10 2 16 14 4 8 12"
"Cowboys Golf Club","TX","Grapevine","Gold","64.2","120","68.7","120","4702","5 4 3 4 4 3 4 5 4 4 4 4 5 4 3 4 3 5","5 17 11 15 1 13 3 7 9 18 6 10 2 16 14 4 8 12"
"Texas Rangers Golf Club","TX","Arlington","Black","73.7","132","79.5","137","7010","4 3 4 5 4 3 4 4 5 5 4 3 4 4 3 4 4 5","17 15 1 7 5 13 9 3 11 16 8 14 10 4 18 12 6 2"
"Texas Rangers Golf Club","TX","Arlington","Gold","71.2","127","76.7","130","6487","4 3 4 5 4 3 4 4 5 5 4 3 4 4 3 4 4 5","17 15 1 7 5 13 9 3 11 16 8 14 10 4 18 12 6 2"
